respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R1542,Confused Drifter,18-20,Female,Punjab,Tier-3 city,Rs2-5L,Class 11,Commerce without Maths,Other,70-80%,Mostly clear,Dont know my strengths|Unaware of emerging careers,Never received guidance,NA,More than 2 years,Agriculture Environment|Business Finance Economics,Medicine and Healthcare|Sports Fitness Wellness,Live classes|Watching videos,Research writing|Technical coding skills,Extended family|Parents / guardians,Joint decision,Location flexibility,Nothing - never paid,Parents / family,Open text response,5,3,3,3,2,Psychometric tests,Exam study plan,Nothing - free only,No - would not pay,Online career platform,Likely would use,0,5,350000.0,2,3.2
R1543,Anxious Achiever,18-20,Female,Gujarat,Tier-3 city,Below Rs2L,Class 12,Science PCM,CBSE,80-90%,Very confused,Family pressure,Online platform,2 - Dissatisfied,Within 3 months,Government Policy|Literature Languages|Mathematics Statistics,Business Finance Entrepreneurship|Education and Research|Technology and Engineering,Watching videos,Analytical logical thinking|Mathematical ability,Friends / peers|Online influencers / social media,Parents decide and pay,Help society|Personal passion|Work-life balance,Test prep apps / subscriptions,Google / web search|Parents / family,Open text response,4,3,4,3,5,1-on-1 mentorship|Personalised roadmap|Scholarship finder,Detailed career report,Rs100-299/mo,Yes up to Rs499,School teacher/counsellor,Likely would use,200,1,100000.0,5,3.8
R1544,Confused Drifter,21-23,Male,Rajasthan,Tier-3 city,Rs5-10L,Class 11,Science PCM,CBSE,80-90%,Somewhat confused,Dont know my strengths,Online platform,3 - Neutral,6-12 months,Government Policy,Creative Arts Media Design|Technology and Engineering,Gamified learning|Live classes|Reading articles/books,Empathy interpersonal skills|Research writing,No one - still figuring out|Online influencers / social media,Parents decide and pay,Help society|Scope for growth,Coaching classes (JEE NEET etc)|Study materials / books,Google / web search|Parents / family|Social media,Open text response,4,3,4,4,2,1-on-1 mentorship|Personalised roadmap|Scholarship finder,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs199,Social media,Definitely would NOT use,70,3,750000.0,4,3.4
R1545,Anxious Achiever,15-17,Male,Uttar Pradesh,Metro city,Rs10-20L,Class 12,Arts / Humanities,CBSE,80-90%,Just exploring,Fear of wrong choice,Family/friends only,3 - Neutral,3-6 months,Literature Languages,Business Finance Entrepreneurship|Education and Research,Gamified learning|Peer discussions|Watching videos,Communication public speaking|Research writing,Extended family|Online influencers / social media,Joint decision,Help society|Location flexibility|Scope for growth,Study materials / books|Test prep apps / subscriptions,Google / web search|Parents / family|Teachers / school,Open text response,5,4,4,3,4,College and exam recommender|Salary and job demand dashboard,Detailed career report,Rs300-499/mo,Yes up to Rs199,Online career platform,Definitely would use,400,2,1500000.0,3,4.0
R1546,Anxious Achiever,15-17,Male,Punjab,Tier-3 city,Rs10-20L,Class 10,Science PCM,State Board,80-90%,Somewhat confused,Dont know my strengths|Fear of wrong choice,Private counsellor (paid),NA,6-12 months,Literature Languages|Science Physics Chemistry Biology,Defence and Public Service|Technology and Engineering,Hands-on projects|Watching videos,Communication public speaking|Research writing,Friends / peers|Myself - independent,I decide - parents pay,Location flexibility|Work-life balance,Coaching classes (JEE NEET etc),Google / web search,Open text response,3,3,4,3,3,Personalised roadmap|Psychometric tests,1-on-1 professional session,Rs500-999/mo,Yes up to Rs499,YouTube,Neutral,750,3,1500000.0,4,3.2
R1547,Confused Drifter,18-20,,Andhra Pradesh,Tier-3 city,Below Rs2L,UG 1st year,Vocational / Diploma,State Board,70-80%,Very confused,Fear of wrong choice,Never received guidance,2 - Dissatisfied,1-2 years,Design Art Media|Government Policy|Literature Languages,Education and Research|Sports Fitness Wellness,Hands-on projects|Peer discussions,Communication public speaking|Research writing,Friends / peers|No one - still figuring out,I decide - parents pay,Scope for growth|Work-life balance,Study materials / books,Google / web search|Social media|YouTube,Open text response,4,2,4,2,2,Salary and job demand dashboard,Would not spend Rs499,Up to Rs99/mo,No - would not pay,Family / relatives,Definitely would use,70,4,100000.0,5,2.8
R1548,Curious Explorer,18-20,Male,West Bengal,Tier-2 city,Rs2-5L,Class 10,Commerce with Maths,State Board,80-90%,Mostly clear,Dont know my strengths|No access to mentors,Online platform,3 - Neutral,1-2 years,Business Finance Economics|Law Social Sciences|Technology Computers AI,Education and Research|Social Work Development|Sports Fitness Wellness,Reading articles/books|Watching videos,Empathy interpersonal skills|Research writing,Extended family|Friends / peers,Parents decide and pay,Job security and stability|Social status / prestige|Work-life balance,Study materials / books,Google / web search|YouTube,Open text response,3,4,3,4,3,AI chatbot 24/7|Personalised roadmap|Scholarship finder,3mo platform access,Up to Rs99/mo,Yes up to Rs499,I dont use anything,Likely would use,70,4,350000.0,2,3.4
R1549,Anxious Achiever,18-20,Female,Madhya Pradesh,Tier-2 city,Prefer not to say,Class 11,Arts / Humanities,State Board,Above 90%,Very confused,Dont know exams needed|Too many options,Private counsellor (paid),3 - Neutral,3-6 months,Agriculture Environment|Literature Languages|Technology Computers AI,Sports Fitness Wellness|Technology and Engineering,Live classes,Creative thinking design|Research writing,Teachers / counsellors,I decide and pay myself,Location flexibility|Personal passion,Coaching classes (JEE NEET etc)|Online courses / certifications,Parents / family|Social media,Open text response,4,2,3,1,5,1-on-1 mentorship|Peer community forums|Scholarship finder,Detailed career report,Rs100-299/mo,Yes up to Rs499,Family / relatives,Likely would use,200,2,,5,3.0
R1550,Confused Drifter,18-20,Male,Uttar Pradesh,Tier-2 city,Rs2-5L,UG 1st year,Vocational / Diploma,State Board,Below 60%,Somewhat confused,Family pressure,Never received guidance,5 - Very satisfied,6-12 months,Science Physics Chemistry Biology,Sports Fitness Wellness|Technology and Engineering,Gamified learning|Peer discussions,Creative thinking design|Mathematical ability|Research writing,No one - still figuring out,I decide - parents pay,High earning potential|Job security and stability,Nothing - never paid,Coaching institutes|Parents / family|Teachers / school,Open text response,3,3,3,2,3,College and exam recommender|Personalised roadmap|Salary and job demand dashboard,3mo platform access,Nothing - free only,Yes up to Rs999,YouTube,Likely would use,0,3,350000.0,4,2.8
R1551,Confused Drifter,15-17,Male,Gujarat,Tier-2 city,Above Rs20L,Class 12,Commerce without Maths,CBSE,Above 90%,Somewhat confused,Dont know exams needed|Dont know my strengths,Never received guidance,3 - Neutral,6-12 months,Business Finance Economics|Government Policy,Education and Research|Medicine and Healthcare,Watching videos,Analytical logical thinking|Empathy interpersonal skills|Research writing,Myself - independent|No one - still figuring out,Parents decide and pay,High earning potential|Personal passion,Coaching classes (JEE NEET etc),Google / web search|I dont search - feel lost,Open text response,5,2,2,3,2,AI chatbot 24/7|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs499,YouTube,Neutral,200,3,2500000.0,4,2.8
R1552,Anxious Achiever,15-17,Male,Bihar,Tier-2 city,Below Rs2L,UG 2nd year+,Science PCB,CBSE,70-80%,Somewhat confused,Too many options,Never received guidance,4 - Satisfied,3-6 months,Mathematics Statistics|Medicine Healthcare|Science Physics Chemistry Biology,Medicine and Healthcare|Technology and Engineering,Gamified learning|Hands-on projects|Watching videos,Communication public speaking|Technical coding skills,Teachers / counsellors,I decide - parents pay,Help society|High earning potential|Location flexibility,Nothing - never paid,Parents / family|YouTube,Open text response,5,3,3,4,4,AI chatbot 24/7|Peer community forums|Scholarship finder,3mo platform access,Nothing - free only,Yes up to Rs499,Online career platform,Likely would use,0,2,100000.0,4,3.8
R1553,Anxious Achiever,18-20,Female,Uttar Pradesh,Metro city,Below Rs2L,Class 12,Science PCB,IB,Above 90%,Somewhat confused,Dont know exams needed|Dont know my strengths,Online platform,3 - Neutral,Within 3 months,Government Policy|Literature Languages|Science Physics Chemistry Biology,Defence and Public Service|Medicine and Healthcare,Hands-on projects|Watching videos,Analytical logical thinking|Leadership teamwork,Myself - independent|Online influencers / social media,Parents decide and pay,Job security and stability,Online courses / certifications,Google / web search|Parents / family,Open text response,3,2,5,1,2,College and exam recommender|Personalised roadmap|Psychometric tests,Detailed career report,Rs100-299/mo,Yes up to Rs199,YouTube,Neutral,200,1,100000.0,4,2.6
R1554,Anxious Achiever,15-17,Male,Madhya Pradesh,Metro city,Rs5-10L,Class 12,Commerce without Maths,State Board,Below 60%,Mostly clear,Fear of wrong choice|No access to mentors,Never received guidance,2 - Dissatisfied,6-12 months,Business Finance Economics,Education and Research|Medicine and Healthcare,Gamified learning|Live classes|Watching videos,Communication public speaking|Not sure yet,Friends / peers|Myself - independent,Joint decision,Job security and stability|Location flexibility,Nothing - never paid|Private career counsellor session,Career apps / websites|Social media|Teachers / school,Open text response,5,1,3,3,5,AI chatbot 24/7|Personalised roadmap|Psychometric tests,Detailed career report,Nothing - free only,No - would not pay,School teacher/counsellor,Neutral,0,3,750000.0,2,3.4
R1555,Confused Drifter,15-17,Female,Assam,Tier-2 city,Rs2-5L,Class 12,Science PCM,CBSE,80-90%,Very confused,Unaware of emerging careers,Family/friends only,3 - Neutral,3-6 months,Law Social Sciences,Emerging fields|Sports Fitness Wellness|Technology and Engineering,Reading articles/books,Leadership teamwork|Not sure yet,Extended family,I decide and pay myself,Personal passion|Social status / prestige,Test prep apps / subscriptions,Google / web search,Open text response,5,3,3,2,2,College and exam recommender|Peer community forums|Salary and job demand dashboard,3mo platform access,Rs300-499/mo,Yes up to Rs199,YouTube,Definitely would NOT use,400,2,350000.0,5,3.0
R1556,Curious Explorer,15-17,Male,Gujarat,Tier-3 city,Rs5-10L,Class 9 or below,Commerce without Maths,State Board,70-80%,Somewhat confused,Dont know exams needed|Too many options,Online platform,5 - Very satisfied,More than 2 years,Business Finance Economics|Literature Languages,Creative Arts Media Design|Education and Research|Sports Fitness Wellness,Reading articles/books,Communication public speaking|Technical coding skills,Extended family|Teachers / counsellors,Joint decision,Personal passion|Scope for growth,Online courses / certifications,I dont search - feel lost|Social media,Open text response,3,3,2,4,4,College and exam recommender|Scholarship finder,3mo platform access,Nothing - free only,Yes up to Rs499,YouTube,Neutral,0,5,750000.0,4,3.2
R1557,Pragmatic Follower,24 or above,Female,Uttar Pradesh,Tier-3 city,Above Rs20L,Class 11,Not decided,ICSE / ISC,80-90%,Completely clear,Family pressure,School counsellor (free),3 - Neutral,3-6 months,Design Art Media|Literature Languages,Business Finance Entrepreneurship|Medicine and Healthcare,Gamified learning|Peer discussions,Empathy interpersonal skills|Not sure yet,Friends / peers|Myself - independent,I decide - parents pay,Scope for growth|Social status / prestige,Coaching classes (JEE NEET etc),Career apps / websites|Parents / family|Social media,Open text response,3,2,4,2,3,1-on-1 mentorship,Would not spend Rs499,Nothing - free only,Yes up to Rs999,Family / relatives,Definitely would use,0,2,2500000.0,1,2.8
R1558,Anxious Achiever,18-20,Female,Uttar Pradesh,Metro city,Rs2-5L,UG 1st year,Science PCM,State Board,70-80%,Somewhat confused,Dont know exams needed,Family/friends only,4 - Satisfied,3-6 months,Law Social Sciences|Science Physics Chemistry Biology,Emerging fields|Law and Civil Services,Gamified learning|Hands-on projects|Reading articles/books,Creative thinking design|Mathematical ability,Extended family|Friends / peers,I decide and pay myself,Help society|Scope for growth,Nothing - never paid|Study materials / books,Google / web search|Social media,Open text response,5,3,4,3,4,Peer community forums|Psychometric tests|Scholarship finder,Exam study plan,Rs300-499/mo,Yes up to Rs499,Online career platform,Definitely would use,400,2,350000.0,4,3.8
R1559,Focused Climber,21-23,Male,Haryana,Tier-2 city,Rs2-5L,PG / Other,Not decided,State Board,Below 60%,Somewhat confused,Dont know exams needed|Dont know my strengths,Never received guidance,5 - Very satisfied,More than 2 years,Law Social Sciences|Literature Languages|Medicine Healthcare,Creative Arts Media Design|Law and Civil Services|Sports Fitness Wellness,Peer discussions|Reading articles/books,Analytical logical thinking|Not sure yet|Research writing,Extended family|Teachers / counsellors,Parents decide and pay,Help society|Job security and stability|Social status / prestige,Study materials / books,Google / web search|Parents / family|Social media,Open text response,3,3,5,4,5,College and exam recommender|Salary and job demand dashboard,3mo platform access,Above Rs1000/mo,No - would not pay,Online career platform,Definitely would use,1200,5,350000.0,4,4.0
R1560,Curious Explorer,Under 15,Female,Assam,Tier-2 city,Rs5-10L,Class 11,Arts / Humanities,State Board,70-80%,Just exploring,Financial constraints,Family/friends only,3 - Neutral,3-6 months,Technology Computers AI,Education and Research|Medicine and Healthcare,Live classes|Watching videos,Empathy interpersonal skills,Extended family|Friends / peers,I decide - parents pay,Job security and stability,Test prep apps / subscriptions,Parents / family|Teachers / school,Open text response,3,4,1,4,3,AI chatbot 24/7|Scholarship finder,Would not spend Rs499,Nothing - free only,Yes up to Rs199,YouTube,Likely would use,0,2,750000.0,3,3.0
R1561,Pragmatic Follower,15-17,Female,Uttar Pradesh,Tier-2 city,Above Rs20L,Class 10,Commerce with Maths,CBSE,80-90%,Very confused,Family pressure,Online platform,4 - Satisfied,Within 3 months,Law Social Sciences|Mathematics Statistics,Business Finance Entrepreneurship|Education and Research,Gamified learning|Live classes,Not sure yet|Research writing|Technical coding skills,Extended family|Parents / guardians,Parents decide and pay,Job security and stability|Personal passion,Coaching classes (JEE NEET etc)|Study materials / books,Google / web search|Social media|YouTube,Open text response,4,1,3,2,3,1-on-1 mentorship|Peer community forums|Scholarship finder,3mo platform access,Rs300-499/mo,Yes up to Rs199,I dont use anything,Neutral,400,1,2500000.0,5,2.6
R1562,Focused Climber,18-20,Female,West Bengal,Metro city,Rs5-10L,UG 2nd year+,Science PCB,State Board,80-90%,Just exploring,Unaware of emerging careers,Family/friends only,2 - Dissatisfied,3-6 months,Literature Languages|Science Physics Chemistry Biology|Technology Computers AI,Social Work Development|Technology and Engineering,Gamified learning,Leadership teamwork|Not sure yet,Online influencers / social media,Parents decide and pay,High earning potential|Job security and stability,Online courses / certifications,Parents / family,Open text response,2,4,5,4,4,1-on-1 mentorship,3mo platform access,Rs300-499/mo,Yes up to Rs499,School teacher/counsellor,Likely would use,400,2,750000.0,3,3.8
R1563,Curious Explorer,15-17,Non-binary / Other,Maharashtra,Tier-3 city,Below Rs2L,Class 9 or below,Science PCM,CBSE,Below 60%,Just exploring,Dont know exams needed|No access to mentors,School counsellor (free),1 - Very dissatisfied,More than 2 years,Mathematics Statistics|Science Physics Chemistry Biology|Technology Computers AI,Creative Arts Media Design|Emerging fields|Technology and Engineering,Peer discussions,Analytical logical thinking|Communication public speaking|Technical coding skills,Extended family|Parents / guardians,Parents decide and pay,Scope for growth|Work-life balance,Test prep apps / subscriptions,Parents / family|Teachers / school|YouTube,Open text response,3,4,3,4,4,Personalised roadmap|Psychometric tests,3mo platform access,Rs500-999/mo,Yes up to Rs999,YouTube,Definitely would use,750,5,100000.0,3,3.6
R1564,Pragmatic Follower,15-17,Male,Haryana,Tier-3 city,Rs5-10L,UG 1st year,Science PCM,CBSE,70-80%,Just exploring,Family pressure,Never received guidance,4 - Satisfied,1-2 years,Mathematics Statistics,Sports Fitness Wellness,Gamified learning|Hands-on projects|Peer discussions,Empathy interpersonal skills,Extended family|No one - still figuring out,Not sure,Job security and stability|Social status / prestige,Test prep apps / subscriptions,I dont search - feel lost|Parents / family|YouTube,Open text response,4,2,3,2,3,College and exam recommender|Personalised roadmap|Psychometric tests,Would not spend Rs499,Above Rs1000/mo,Yes above Rs999,Social media,Neutral,1200,4,750000.0,3,2.8
R1565,Curious Explorer,18-20,Female,Gujarat,Metro city,Rs2-5L,Class 11,Arts / Humanities,CBSE,60-70%,Somewhat confused,Financial constraints|Too many options,Family/friends only,1 - Very dissatisfied,1-2 years,Agriculture Environment|Design Art Media|Literature Languages,Creative Arts Media Design|Medicine and Healthcare|Social Work Development,Hands-on projects|Peer discussions,Communication public speaking|Empathy interpersonal skills|Technical coding skills,No one - still figuring out|Teachers / counsellors,Not sure,High earning potential|Location flexibility|Social status / prestige,Nothing - never paid,Coaching institutes,Open text response,2,5,1,4,4,1-on-1 mentorship|Peer community forums|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,No - would not pay,Social media,Neutral,70,4,350000.0,4,3.2
R1566,Anxious Achiever,21-23,Female,West Bengal,Metro city,Rs2-5L,UG 1st year,Science PCM,CBSE,80-90%,Somewhat confused,Unaware of emerging careers,Online platform,4 - Satisfied,3-6 months,Mathematics Statistics|Medicine Healthcare|Technology Computers AI,Law and Civil Services|Technology and Engineering,Gamified learning|Peer discussions,Communication public speaking|Creative thinking design,Extended family|Parents / guardians,Parents decide and pay,High earning potential|Social status / prestige,Online courses / certifications,Teachers / school,Open text response,5,2,4,1,5,1-on-1 mentorship|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,No - would not pay,YouTube,Unlikely to use,70,2,350000.0,4,3.4
R1567,Confused Drifter,15-17,Male,Bihar,Metro city,Rs10-20L,PG / Other,Commerce without Maths,CBSE,Above 90%,Mostly clear,Dont know exams needed,Never received guidance,1 - Very dissatisfied,1-2 years,Agriculture Environment|Business Finance Economics|Literature Languages,Social Work Development|Technology and Engineering,Watching videos,Communication public speaking|Mathematical ability,Friends / peers|Online influencers / social media,I decide - parents pay,Personal passion|Scope for growth,Coaching classes (JEE NEET etc),Google / web search|Parents / family,Open text response,4,4,3,2,3,1-on-1 mentorship|Salary and job demand dashboard,Exam study plan,Above Rs1000/mo,Yes up to Rs499,Family / relatives,Likely would use,1200,4,1500000.0,2,3.2
R1568,Confused Drifter,Under 15,Male,Rajasthan,Tier-2 city,Below Rs2L,Class 10,Not decided,CBSE,70-80%,Just exploring,Dont know my strengths,Family/friends only,3 - Neutral,More than 2 years,Design Art Media|Law Social Sciences|Mathematics Statistics,Technology and Engineering,Hands-on projects|Peer discussions|Reading articles/books,Creative thinking design|Empathy interpersonal skills|Research writing,Online influencers / social media|Parents / guardians,I decide - parents pay,Personal passion|Scope for growth|Work-life balance,Nothing - never paid,Parents / family,Open text response,5,3,3,2,4,Personalised roadmap|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs999,Family / relatives,Definitely would NOT use,70,5,100000.0,3,3.4
R1569,Anxious Achiever,24 or above,Male,Uttar Pradesh,Metro city,Rs10-20L,UG 1st year,Science PCM,State Board,70-80%,Somewhat confused,Financial constraints,Family/friends only,4 - Satisfied,Within 3 months,Mathematics Statistics|Science Physics Chemistry Biology,Emerging fields,Hands-on projects|Reading articles/books,Not sure yet|Research writing,Myself - independent|Teachers / counsellors,I decide - parents pay,High earning potential|Scope for growth|Work-life balance,Coaching classes (JEE NEET etc),I dont search - feel lost,Open text response,4,2,3,3,4,Peer community forums|Personalised roadmap|Scholarship finder,1-on-1 professional session,Rs300-499/mo,No - would not pay,Family / relatives,Definitely would use,400,1,1500000.0,4,3.2
R1570,Anxious Achiever,21-23,Female,Telangana,Metro city,Rs10-20L,Class 10,Commerce with Maths,CBSE,Above 90%,Very confused,Dont know my strengths|Family pressure,Private counsellor (paid),3 - Neutral,Within 3 months,Business Finance Economics|Law Social Sciences|Mathematics Statistics,Business Finance Entrepreneurship|Law and Civil Services,Reading articles/books|Watching videos,Analytical logical thinking|Communication public speaking,Extended family|Online influencers / social media,I decide - parents pay,Location flexibility|Scope for growth|Social status / prestige,Coaching classes (JEE NEET etc),Google / web search,Open text response,5,2,4,2,5,Personalised roadmap|Scholarship finder,1-on-1 professional session,Above Rs1000/mo,Yes up to Rs999,Google / web search,Neutral,1200,1,1500000.0,5,3.6
R1571,Anxious Achiever,18-20,Male,Maharashtra,Tier-2 city,Above Rs20L,Class 10,Vocational / Diploma,State Board,60-70%,Somewhat confused,Financial constraints,School counsellor (free),3 - Neutral,Within 3 months,Design Art Media|Law Social Sciences|Science Physics Chemistry Biology,Defence and Public Service,Gamified learning,Analytical logical thinking|Not sure yet,Friends / peers,I decide - parents pay,Help society|High earning potential|Work-life balance,Online courses / certifications|Private career counsellor session,Career apps / websites,Open text response,4,2,2,3,4,Personalised roadmap,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs199,School teacher/counsellor,Likely would use,70,1,2500000.0,4,3.0
R1572,Focused Climber,15-17,Male,West Bengal,Tier-2 city,Rs5-10L,Class 9 or below,Science PCM,CBSE,Above 90%,Completely clear,Unaware of emerging careers,Family/friends only,5 - Very satisfied,6-12 months,Agriculture Environment|Science Physics Chemistry Biology,Business Finance Entrepreneurship,Gamified learning|Live classes,Creative thinking design|Not sure yet|Research writing,Online influencers / social media,I decide and pay myself,Personal passion|Social status / prestige,Private career counsellor session|Test prep apps / subscriptions,Coaching institutes|Teachers / school,Open text response,4,5,4,3,5,1-on-1 mentorship|Peer community forums|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs499,Coaching institute,Definitely would use,200,3,750000.0,1,4.2
R1573,Focused Climber,15-17,Female,Gujarat,Tier-2 city,Rs2-5L,UG 2nd year+,Commerce with Maths,CBSE,Above 90%,Somewhat confused,Dont know my strengths|Too many options,Online platform,4 - Satisfied,More than 2 years,Design Art Media|Medicine Healthcare,Business Finance Entrepreneurship|Creative Arts Media Design,Hands-on projects|Reading articles/books,Analytical logical thinking,Online influencers / social media,I decide - parents pay,High earning potential|Location flexibility|Social status / prestige,Coaching classes (JEE NEET etc)|Online courses / certifications,Parents / family,Open text response,4,5,4,5,5,1-on-1 mentorship|Peer community forums,3mo platform access,Above Rs1000/mo,Yes up to Rs499,Online career platform,Definitely would use,1200,5,350000.0,4,4.6
R1574,Curious Explorer,Under 15,Female,Gujarat,Rural / Village,Rs5-10L,Class 10,Commerce without Maths,CBSE,80-90%,Mostly clear,Too many options,Family/friends only,4 - Satisfied,3-6 months,Business Finance Economics,Law and Civil Services|Social Work Development|Sports Fitness Wellness,Watching videos,Communication public speaking|Mathematical ability|Not sure yet,Teachers / counsellors,Parents decide and pay,Help society|Personal passion,Nothing - never paid,YouTube,Open text response,3,4,2,4,3,College and exam recommender|Peer community forums|Psychometric tests,Would not spend Rs499,Rs100-299/mo,Yes up to Rs199,Social media,Likely would use,200,2,750000.0,2,3.2
R1575,Confused Drifter,15-17,Female,Uttar Pradesh,Metro city,Rs5-10L,Class 10,Vocational / Diploma,State Board,70-80%,Mostly clear,Unaware of emerging careers,School counsellor (free),2 - Dissatisfied,3-6 months,Government Policy|Mathematics Statistics,Social Work Development,Hands-on projects,Leadership teamwork|Technical coding skills,Teachers / counsellors,Parents decide and pay,Personal passion|Social status / prestige|Work-life balance,Private career counsellor session,Social media,Open text response,4,1,2,2,3,1-on-1 mentorship|Salary and job demand dashboard|Scholarship finder,3mo platform access,Rs300-499/mo,Yes up to Rs199,Google / web search,Neutral,400,2,750000.0,2,2.4
R1576,Confused Drifter,18-20,Male,Jharkhand,Metro city,Below Rs2L,Class 9 or below,Science PCB,State Board,80-90%,Somewhat confused,Too many options|Unaware of emerging careers,Never received guidance,3 - Neutral,3-6 months,Mathematics Statistics|Technology Computers AI,Medicine and Healthcare,Peer discussions|Reading articles/books|Watching videos,Not sure yet|Research writing,Parents / guardians,I decide and pay myself,Help society,Coaching classes (JEE NEET etc),I dont search - feel lost|YouTube,Open text response,4,1,3,3,1,AI chatbot 24/7,1-on-1 professional session,Up to Rs99/mo,No - would not pay,YouTube,Definitely would use,70,2,100000.0,4,2.4
R1577,Curious Explorer,15-17,Male,Odisha,Metro city,Rs10-20L,Class 12,Arts / Humanities,ICSE / ISC,70-80%,Just exploring,Dont know exams needed|No access to mentors,Never received guidance,4 - Satisfied,6-12 months,Business Finance Economics|Literature Languages,Defence and Public Service|Law and Civil Services,Gamified learning,Creative thinking design|Leadership teamwork,Parents / guardians,I decide and pay myself,Scope for growth|Social status / prestige|Work-life balance,Online courses / certifications,Coaching institutes|Social media,Open text response,3,4,3,3,3,Psychometric tests,Detailed career report,Up to Rs99/mo,Yes up to Rs199,Family / relatives,Likely would use,70,3,1500000.0,3,3.2
R1578,Curious Explorer,15-17,Male,Tamil Nadu,Tier-2 city,Rs5-10L,UG 1st year,Science PCM,Other,70-80%,Just exploring,Financial constraints|Too many options,Private counsellor (paid),1 - Very dissatisfied,6-12 months,Science Physics Chemistry Biology|Technology Computers AI,Medicine and Healthcare|Sports Fitness Wellness|Technology and Engineering,Live classes|Watching videos,Leadership teamwork|Mathematical ability|Not sure yet,Myself - independent|Parents / guardians,I decide and pay myself,High earning potential|Scope for growth,Coaching classes (JEE NEET etc),YouTube,Open text response,3,5,2,4,2,1-on-1 mentorship|AI chatbot 24/7|Peer community forums,3mo platform access,Above Rs1000/mo,Yes up to Rs199,School teacher/counsellor,Neutral,1200,3,750000.0,3,3.2
R1579,Pragmatic Follower,21-23,Female,West Bengal,Tier-3 city,Below Rs2L,UG 2nd year+,Science PCM,CBSE,80-90%,Somewhat confused,Dont know exams needed,Family/friends only,3 - Neutral,6-12 months,Literature Languages,Creative Arts Media Design|Education and Research|Law and Civil Services,Hands-on projects|Reading articles/books|Watching videos,Communication public speaking|Mathematical ability,Online influencers / social media,I decide - parents pay,Location flexibility,Online courses / certifications,Google / web search|YouTube,Open text response,3,2,3,3,3,Personalised roadmap|Psychometric tests|Salary and job demand dashboard,Exam study plan,Rs300-499/mo,No - would not pay,I dont use anything,Definitely would use,400,3,100000.0,4,2.8
R1580,Curious Explorer,18-20,Male,Madhya Pradesh,Tier-2 city,Rs2-5L,Class 10,Vocational / Diploma,CBSE,Above 90%,Mostly clear,Too many options,Never received guidance,3 - Neutral,1-2 years,Law Social Sciences|Mathematics Statistics|Science Physics Chemistry Biology,Education and Research|Technology and Engineering,Gamified learning|Live classes|Peer discussions,Empathy interpersonal skills|Technical coding skills,Myself - independent|No one - still figuring out,Parents decide and pay,Job security and stability|Personal passion|Work-life balance,Nothing - never paid,Google / web search|Social media|YouTube,Open text response,3,2,3,5,3,College and exam recommender|Salary and job demand dashboard|Scholarship finder,Exam study plan,Rs100-299/mo,Yes up to Rs199,Google / web search,Definitely would use,200,4,350000.0,2,3.2
R1581,Curious Explorer,15-17,Female,Odisha,Metro city,Above Rs20L,Class 10,Not decided,CBSE,70-80%,Just exploring,Dont know exams needed|Dont know my strengths,Never received guidance,2 - Dissatisfied,3-6 months,Law Social Sciences|Technology Computers AI,Business Finance Entrepreneurship|Emerging fields,Hands-on projects,Creative thinking design|Mathematical ability|Research writing,Extended family|Teachers / counsellors,I decide - parents pay,Scope for growth|Social status / prestige,Online courses / certifications,Parents / family|Teachers / school,Open text response,4,4,1,5,2,1-on-1 mentorship|AI chatbot 24/7,1-on-1 professional session,Nothing - free only,No - would not pay,Google / web search,Definitely would use,0,2,2500000.0,3,3.2
R1582,Anxious Achiever,15-17,Male,Maharashtra,Tier-2 city,Rs2-5L,UG 1st year,Science PCM,State Board,60-70%,Just exploring,Fear of wrong choice|Too many options,Family/friends only,1 - Very dissatisfied,3-6 months,Mathematics Statistics|Science Physics Chemistry Biology|Technology Computers AI,Sports Fitness Wellness,Gamified learning|Live classes,Technical coding skills,No one - still figuring out,I decide and pay myself,High earning potential|Location flexibility,Nothing - never paid,Coaching institutes|Google / web search,Open text response,4,3,3,3,5,1-on-1 mentorship|Peer community forums|Psychometric tests,3mo platform access,Nothing - free only,Yes up to Rs199,Coaching institute,Likely would use,0,2,350000.0,3,3.6
